"System_ID","Year","Total_hospital_beds","Admissions","Inpatient_Days","Surgical_operations_inpatient","Emergency_room_visits","Other_outpatient_visits_non_ER","Surgical_operations_outpatient","Total_outpatient_visits","Total_Medicaid_days","Total_Medicaid_discharges","Total_Medicare_days","Total_Medicare_discharges","Physicians_and_dentists_FT","Total_personnel_FT","Total_Physicians_NE","Total_Physicians_TE","Total_Physicians_TG","Total_Physicians_TC","Total_Physicians_TP","All_Physicians","Hospitals"
"5990901",2013,2194,101677,579437,30049,353116,2204961,62383,2558077,135862,18601,254473,44473,180,15858,2427,227,534,222,3410,7000,7
"5990901",2014,2512,112279,664757,31450,400716,2141795,69843,2542511,155931,21791,300896,50756,209,17545,2333,352,635,239,3559,7327,8
"5990901",2015,2983,131126,739470,35552,517064,2498685,82828,3015749,173704,25424,364586,62490,251,19437,2633,425,724,246,4028,8307,10
"5990901",2016,3337,138597,799271,37393,568759,2776299,85641,3345058,196264,25352,372409,63060,296,22003,2801,449,893,164,4307,8910,11
"5990902",2012,47,1905,5949,1147,6776,128043,2541,134819,428,211,3566,1045,23,406,0,22,12,27,61,145,2
"5990902",2013,47,1697,5236,959,6665,115437,2945,122102,331,143,3496,903,17,382,0,20,7,8,35,87,2
"5990902",2014,47,1479,5057,863,6729,116244,3572,122973,393,128,2750,669,18,373,0,17,0,10,27,72,2
"5990902",2015,47,1688,5218,1046,6533,131781,3888,138314,474,169,3159,850,21,378,0,17,0,12,29,79,2
"5990902",2016,47,1732,4787,1017,5549,131705,3869,137254,617,229,2696,750,20,403,0,22,0,30,52,124,2
"5990903",2012,86,1559,22063,0,0,11257,0,11257,4680,266,11866,917,6,298,0,0,0,0,114,120,2
"5990903",2013,86,1540,19908,0,0,11176,0,11176,4325,258,10853,888,6,292,0,0,0,0,114,120,2
"5990903",2014,86,1539,19397,0,0,11526,0,11526,4310,286,9978,845,6,289,0,0,0,0,112,118,2
"5990903",2015,86,1558,18923,0,0,11255,0,11255,4654,311,10028,889,7,299,0,0,0,0,73,80,2
"5990903",2016,86,1480,17843,0,0,13106,0,13106,3840,252,9654,827,6,300,0,0,0,0,76,82,2
"5990904",2012,356,17242,82322,4069,127224,341014,9974,468238,17465,3737,46274,8655,37,1571,218,76,107,0,401,839,2
"5990904",2013,356,17815,91649,4582,94620,366610,9143,461230,18885,3180,44997,8258,37,1591,0,0,0,0,0,37,2
"5990904",2014,356,17440,92127,4395,89815,348760,8817,438575,19747,3350,45635,8154,37,1576,0,0,0,0,0,37,2
"5990904",2015,335,16401,77256,4104,98474,380314,8447,478788,17845,3361,38060,7723,9,1613,0,0,0,0,548,557,2
"5990905",2011,535,6878,100177,0,0,21614,0,21614,10264,841,66039,3949,5,988,127,0,0,0,467,599,9
"5990905",2012,750,8091,186251,0,17,8229,1945,8246,5404,193,148548,6522,0,1641,728,0,1,11,1105,1845,14
"5990905",2013,828,7467,182959,0,17,8178,4045,8195,4084,139,156705,6351,0,1639,946,0,1,11,1278,2236,14
"5990905",2014,779,7752,182754,0,0,8705,5879,8705,11236,243,139088,6007,1,1665,904,0,1,46,951,1903,14
"5990905",2015,800,7678,188039,319,6,9745,4468,9751,3036,128,157901,6457,0,1840,917,0,15,42,1377,2351,14
"5990905",2016,771,8282,182045,0,0,11974,5685,11974,2956,131,138093,6304,0,1603,891,0,9,38,1284,2222,14
"5990906",2013,12108,564440,2793624,142775,2265362,11688853,244910,13954215,491707,94771,1414309,263333,1924,62144,8063,3532,4184,1129,18418,37250,64
"5990906",2014,12049,564326,2818654,142716,2283945,11852398,242895,14136343,544417,106576,1448781,264688,2043,63809,9774,2845,4104,1681,19025,39472,63
"5990906",2015,12568,601069,2978920,149831,2519496,12908361,260231,15427857,620835,121790,1528324,282167,2190,67436,7258,3908,5758,2450,20651,42215,64
"5990906",2016,12896,623185,2982555,154013,2563441,13862155,268394,16425596,643125,123507,1490604,289143,2396,71189,7147,3533,6214,2271,20779,42340,68
"5990907",2012,221,7308,33380,1124,30429,103555,1854,133984,9567,1695,14215,3273,19,682,7,0,44,0,51,121,2
"5990907",2013,281,12471,60763,2310,62022,180563,4215,242585,16842,3748,26637,4890,0,1062,8,0,21,0,29,58,2
"5990907",2014,281,12102,60248,2166,57657,186477,4360,244134,17494,2767,26672,5496,33,1079,8,0,22,0,30,93,2
"5990907",2015,165,6383,33594,946,50553,63368,2053,113921,3662,1870,20904,3535,5,795,87,1,47,0,135,275,1
"5990907",2016,167,6520,31819,916,60699,71697,2319,132396,5338,1192,20350,3604,5,824,67,3,60,0,130,265,1
"5990908",2013,710,70093,216158,12024,112570,2552900,20360,2665470,32366,7138,98175,17275,282,6248,1074,344,185,0,1603,3488,1
"5990908",2014,710,69457,223979,14662,112185,2631264,20770,2743449,38757,8726,100493,17547,298,6268,957,455,204,0,1616,3530,1
"5990909",2012,34,431,4750,0,0,20553,0,20553,113,12,3767,278,1,22,0,2,0,3,5,11,1
"5990909",2013,34,640,7128,0,0,21279,0,21279,225,165,5461,136,1,37,0,2,0,3,5,11,1
"5990909",2014,50,1252,12466,1,0,10657,7,10657,3624,355,3019,259,2,115,0,0,0,0,0,2,2
"5990909",2015,70,1829,18731,1,0,8009,10,8009,3186,405,8934,572,3,154,0,0,0,0,0,3,3
"5990909",2016,36,733,9506,0,0,0,0,0,458,42,3384,220,1,79,0,0,0,0,0,1,3
"5990910",2012,346,11734,80688,2679,58497,120771,5664,179268,32471,2643,30669,5579,58,1692,58,43,38,1,140,338,2
"5990910",2013,346,11353,78835,2421,65809,124394,4678,190203,29227,2214,30943,5788,62,1898,75,48,64,0,187,436,2
"5990910",2014,346,10061,76676,2164,62335,135315,4517,197650,33148,2238,31504,5575,64,1942,79,64,87,0,230,524,2
"5990910",2015,336,10160,76873,2034,59109,138314,4397,197423,36914,3123,30413,5313,82,2222,102,103,77,5,287,656,2
"5990910",2016,336,10315,76137,2064,57486,152289,6254,209775,37111,3048,27918,5174,79,1831,124,90,71,6,291,661,2
"5990911",2012,477,20174,100789,5203,98910,260540,3327,359450,18490,3246,50752,9592,40,2482,0,0,0,0,534,574,2
"5990911",2013,552,22388,116141,5665,110544,312753,9459,423297,23055,4168,55656,9829,51,2803,11,0,51,0,613,726,5
"5990911",2014,677,28005,153277,6491,137462,481404,7574,618866,32386,5945,71098,12577,41,3125,11,0,14,0,595,661,6
"5990911",2015,624,28460,147571,7946,139683,628520,9734,768203,30292,5871,69889,13045,33,2630,93,0,54,0,753,933,6
"5990911",2016,717,32010,168145,8608,153310,499106,10636,652416,39258,6959,80835,15046,28,3325,8,0,75,0,748,859,6
"5990912",2012,109,1061,34616,0,24,7537,0,7561,16538,247,5368,300,5,242,0,0,0,0,0,5,2
"5990912",2013,109,1037,33611,1,0,6953,6,6953,9290,267,8075,221,5,247,0,0,0,0,0,5,2
"5990912",2014,109,1050,34075,1,0,6896,4,6896,9906,298,8253,217,4,251,0,0,0,0,0,4,2
"5990912",2015,109,1320,85047,0,0,5182,7,5182,26511,384,21734,289,2,90,0,0,0,0,0,2,2
"5990912",2016,109,1344,33106,102,0,5819,281,5819,4683,276,18714,539,2,101,0,0,0,0,0,2,2
"5990914",2013,61,2184,6739,761,20807,119290,2339,140097,1611,639,3091,770,32,591,101,31,33,1,134,332,2
"5990914",2014,61,2034,6059,680,22966,141737,2527,164703,1571,675,2666,702,32,596,40,38,68,11,157,346,2
"5990914",2015,61,2161,7384,680,24805,125368,2798,150173,2456,1083,3980,892,30,606,36,38,43,4,121,272,2
"5990914",2016,61,2173,7378,697,25331,130932,2749,156263,2322,1041,4018,933,29,609,0,36,0,22,58,145,2
"5990915",2013,830,30693,192904,11366,136221,112303,14596,248524,80178,10820,52944,9233,19,4962,37,597,80,8,738,1479,3
"5990915",2014,816,30815,197160,12136,131169,140788,14404,271957,83457,11184,52206,9029,12,4900,121,585,105,19,830,1672,3
"5990915",2015,798,32866,210804,12187,139979,157957,15439,297936,94175,13329,58676,10410,19,4823,119,621,84,16,840,1699,3
"5990915",2016,798,33825,215601,12711,138957,455445,16108,594402,92925,13415,62612,10520,19,4802,76,633,56,6,771,1561,3
"5990916",2013,180,4753,21236,2029,19246,21670,6552,40916,2308,674,12269,2405,0,613,389,0,4,0,716,1109,2
"5990917",2013,2971,154665,898624,49313,486518,1703119,95733,2189637,267039,45693,416148,62197,958,22109,4805,1672,1500,0,7977,16912,5
"5990917",2014,2889,145456,831400,49061,471258,1686444,92479,2157702,258492,45498,377501,56892,832,21720,4471,1563,1488,0,8189,16543,4
"5990917",2015,2906,135941,800127,48524,429344,1720354,58768,2149698,256533,43331,369296,54030,198,21122,12123,0,8940,0,21063,42324,4
"5990917",2016,2465,130804,765079,48329,426960,1590214,119405,2017174,242626,40137,360416,55523,96,20744,15788,0,11724,0,27512,55120,4
"5990918",2013,3694,155890,827064,36170,644685,2372061,53745,3016746,125573,24113,361137,62937,724,14773,5420,803,1504,1,8275,16727,19
"5990918",2014,3790,166160,861549,38505,697455,2844549,67172,3542004,118353,23543,366814,63041,7,14883,4310,521,2137,11,9383,16369,21
"5990918",2015,3723,172780,895972,40055,732117,2811154,70753,3543271,109454,22109,415626,73936,81,14444,6767,1118,243,0,8128,16337,19
"5990918",2016,3728,183007,891933,44212,728837,3002283,75422,3731120,106795,21733,400319,74051,0,13820,5025,1839,1414,1,8279,16558,19
"5990919",2013,17562,786561,3681640,200118,3026197,4465165,296727,7491362,871121,185448,1741167,338752,615,61716,12499,612,4166,1167,22252,41311,69
"5990919",2014,17564,796867,3753618,205492,3151164,4491561,285227,7642725,986677,205472,1768234,344563,672,63955,14445,822,4536,287,23541,44303,71
"5990919",2015,17166,800406,3673730,209968,3162164,4723950,292509,7886114,936684,205821,1703161,337527,452,64567,14693,586,5418,994,23734,45877,72
"5990919",2016,15212,699684,3279264,181095,2687988,4139455,255734,6827443,861428,179106,1567882,309718,306,54875,10900,330,3985,428,17033,32982,61
